URN,name,type,phase,nursery_provision,sixth_form,gender,lowest_admission_age,highest_admission_age,census_date,number_of_pupils,percent_fsm,ofsted_rating,ofsted_report,compare_performance,headteacher,website,lon,lat
106315,Urmston Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,507,6.7,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106315,https://www.compare-school-performance.service.gov.uk/school/106315,Simon Parker,www.urmstonprimary.com,-2.3594878976276683,53.45004042068477
106316,Davyhulme Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,518,7.4,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106316,https://www.compare-school-performance.service.gov.uk/school/106316,Kate Brookes,www.davyhulmeprimary.com,-2.351148328483297,53.45396626118588
106318,Flixton Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,4,11,2024-01-18,451,2.2,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106318,https://www.compare-school-performance.service.gov.uk/school/106318,Jason Redmond,www.flixtonprimaryschool.org.uk,-2.378581498562475,53.45011623135482
106321,Gorse Hill Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,363,40.1,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106321,https://www.compare-school-performance.service.gov.uk/school/106321,L Bates,www.gorsehill.trafford.sch.uk,-2.298729899899362,53.4563290929208
106322,Kings Road Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,664,28.6,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106322,https://www.compare-school-performance.service.gov.uk/school/106322,D Morgan,www.kingsroadschool.com,-2.2799230297329807,53.454451133960816
106323,Moss Park Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,4,11,2024-01-18,464,21.3,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106323,https://www.compare-school-performance.service.gov.uk/school/106323,S Nunwick,https://www.mossparkprimary.co.uk,-2.321137265930017,53.448154288680385
106325,Seymour Park Community Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,687,25.6,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106325,https://www.compare-school-performance.service.gov.uk/school/106325,Thomas Johnson,http://www.seymourpark.com,-2.2723583153951075,53.458360654479975
106327,Victoria Park Junior School,Local authority maintained schools,Primary,No,No,Mixed,7,11,2024-01-18,239,25.9,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106327,https://www.compare-school-performance.service.gov.uk/school/106327,James Wilkinson,www.victoriaparkschool.co.uk,-2.3042317154800465,53.45071535552262
106328,Victoria Park Infant School,Local authority maintained schools,Primary,Yes,No,Mixed,5,7,2024-01-18,209,14.6,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106328,https://www.compare-school-performance.service.gov.uk/school/106328,Deborah Vrlec,www.victoriaparkinfant.org,-2.3081832925114183,53.44952772350173
106329,Highfield Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,308,16.2,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106329,https://www.compare-school-performance.service.gov.uk/school/106329,Claire Brown,www.highfield-primary.trafford.sch.uk,-2.3387985360713746,53.4481054726096
106332,Woodhouse Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,231,7.8,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106332,https://www.compare-school-performance.service.gov.uk/school/106332,Julie O'Connor,www.woodhouseprimaryschool.co.uk,-2.3713634422661625,53.45811172657782
106334,Kingsway Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,176,33.5,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106334,https://www.compare-school-performance.service.gov.uk/school/106334,Kate Baskeyfield,www.kingswayprimary.co.uk,-2.3413158541179415,53.457841860983
106337,St Matthew's CofE Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,182,30.2,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106337,https://www.compare-school-performance.service.gov.uk/school/106337,Shelley Lynton,www.stmatthews.trafford.sch.uk,-2.3158697175892327,53.440357310716
106338,Bowdon CofE Primary School,Local authority maintained schools,Primary,No,No,Mixed,4,11,2024-01-18,620,3.7,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106338,https://www.compare-school-performance.service.gov.uk/school/106338,Samantha Halliwell,www.bowdoncs.org.uk,-2.3563095762933837,53.372550325557995
